"full_name","email"
"Paul Casey","paul.casey.1@gslingacademy.com"
"Danielle Sandoval","danielle.sandoval.2@gslingacademy.com"
"Tina Andrews","tina.andrews.3@gslingacademy.com"
"Tara Clark","tara.clark.4@gslingacademy.com"
"Anthony Campos","anthony.campos.5@gslingacademy.com"
"Kelly Wade","kelly.wade.6@gslingacademy.com"
"Anthony Smith","anthony.smith.7@gslingacademy.com"
"George Short","george.short.8@gslingacademy.com"
"Stanley Gutierrez","stanley.gutierrez.9@gslingacademy.com"
"Audrey Simpson","audrey.simpson.10@gslingacademy.com"
"Gabrielle White","gabrielle.white.11@gslingacademy.com"
"Clinton Randolph","clinton.randolph.12@gslingacademy.com"
"Patricia Gomez","patricia.gomez.13@gslingacademy.com"
"Pamela Jackson","pamela.jackson.14@gslingacademy.com"
"Laura Jackson","laura.jackson.15@gslingacademy.com"
"Roger Wiley","roger.wiley.16@gslingacademy.com"
"Vicki Thompson","vicki.thompson.17@gslingacademy.com"
"Maxwell Davidson","maxwell.davidson.18@gslingacademy.com"
"Jonathan Werner","jonathan.werner.19@gslingacademy.com"
"Angela Rios","angela.rios.20@gslingacademy.com"
"Tim Nichols","tim.nichols.21@gslingacademy.com"
"Kyle Willis","kyle.willis.22@gslingacademy.com"
"Shannon Simpson","shannon.simpson.23@gslingacademy.com"
"Sean Griffin","sean.griffin.24@gslingacademy.com"
"Cassandra West","cassandra.west.25@gslingacademy.com"
"Patricia Chavez","patricia.chavez.26@gslingacademy.com"
"Jason Williams","jason.williams.27@gslingacademy.com"
"Peter Gibbs","peter.gibbs.28@gslingacademy.com"
"Jeffrey Blanchard","jeffrey.blanchard.29@gslingacademy.com"
"Carol Hill","carol.hill.30@gslingacademy.com"
"Angie Miller","angie.miller.31@gslingacademy.com"
"Cynthia Knapp","cynthia.knapp.32@gslingacademy.com"
"Timothy Bryant","timothy.bryant.33@gslingacademy.com"
"Phyllis Diaz","phyllis.diaz.34@gslingacademy.com"
"Lisa Burns","lisa.burns.35@gslingacademy.com"
"Kelly Farley","kelly.farley.36@gslingacademy.com"
"Ryan Lee","ryan.lee.37@gslingacademy.com"
"Michael Gilmore","michael.gilmore.38@gslingacademy.com"
"Miguel Martinez","miguel.martinez.39@gslingacademy.com"
"Christopher Taylor","christopher.taylor.40@gslingacademy.com"
"Emily Holloway","emily.holloway.41@gslingacademy.com"
"Jesus Rasmussen","jesus.rasmussen.42@gslingacademy.com"
